,label,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
39,angry,0.5588253,0.31905806,0.19223504,0.6547718,0.15446475,0.0,0.20449701,0.14972201,1.0,0.102088235,0.30085737,0.5085718,0.4411959,1.0,0.2732464,0.3523917,0.979715,0.40358195,0.10249953,0.17300452
40,angry,0.33130547,0.33266604,0.19125468,0.37026826,0.0843815,0.0,0.1390615,0.04111724,0.0,0.024238538,0.55779624,0.49669546,0.40023702,0.0,0.6607794,0.2750365,0.81019276,0.25701112,0.14043052,0.051760595
41,angry,0.20092481,0.14032851,0.57561326,0.510976,0.08684389,0.0,0.1996988,0.77752465,0.0,0.04583436,0.25379452,0.13831379,0.2501594,1.0,0.24125195,0.008186334,0.9999471,0.8425902,0.016422646,0.09695914
42,angry,0.42988643,0.25336933,0.8835926,0.5033815,0.25630078,0.0,0.19677661,0.73498195,1.0,0.028967932,0.09757891,0.1604535,0.2937981,1.0,0.27548334,0.017534357,0.99989235,0.83550364,0.14728126,0.08143085
43,angry,0.45321682,0.17645812,0.56880575,0.5613395,0.18082531,1.0,0.10717402,0.088005155,0.0,0.13053986,0.113761485,0.13059671,0.24663875,1.0,0.2507086,0.014290435,0.9995627,0.74682474,0.43623537,0.035369813
44,angry,0.37259254,0.123198114,0.6026462,0.30104917,0.18011384,0.0,0.28838193,0.03720228,0.0,0.054591663,0.3656282,0.55811703,0.39746323,1.0,0.57916766,0.27584925,0.98287624,0.6408063,0.12013379,0.10619074
45,angry,0.19382538,0.041596293,0.8565599,0.3863717,0.109474264,0.0,0.3609529,0.608986,0.0,0.02626675,0.16279553,0.42596626,0.30092213,1.0,0.42056626,0.0076516108,0.99987066,0.98036283,0.03472645,0.08070146
46,angry,0.50759524,0.4627889,0.12948182,0.6638198,0.13559206,0.0,0.12023981,9.915282e-05,0.0,0.066181324,0.3920052,0.07284209,0.51079935,0.0,0.16509971,0.48448524,0.020069487,0.06512705,0.06978355,0.03871087
47,angry,0.36246887,0.28172052,0.85405374,0.31832337,0.46461383,1.0,0.65321034,0.9280209,0.0,0.28066275,0.23520212,0.4927306,0.22339799,1.0,0.45556659,0.0058886227,0.9999628,0.96442944,0.0288734,0.29087132
48,angry,0.47438255,0.24808317,0.7007947,0.46192288,0.2868343,1.0,0.3505528,0.17817639,1.0,0.21513422,0.27408966,0.33409122,0.3034241,1.0,0.2630156,0.007707118,0.9999285,0.9465209,0.15555806,0.09758173
49,angry,0.44006723,0.16728108,0.7538927,0.35182592,0.21265708,0.0,0.29788408,0.5856891,0.0,0.0431501,0.15487906,0.6076874,0.18408078,1.0,0.5641221,0.006398905,0.9999255,0.9676582,0.029763406,0.1202309
50,angry,0.81923777,0.3359268,0.93296546,0.3406009,0.6360891,1.0,0.7410202,0.91433173,0.0,0.63831997,0.38653433,0.32143784,0.2238761,1.0,0.33831504,0.014707711,0.99994266,0.86854255,0.090125285,0.77421236
51,angry,0.6386993,0.19154823,0.6955067,0.34494427,0.1583545,1.0,0.35525554,0.018674193,1.0,0.11290071,0.23284143,0.30043828,0.6739267,0.0,0.35533002,0.49619293,0.0015415209,0.07369087,0.031700727,0.3908845
52,angry,0.39075413,0.29229486,0.72888094,0.56903386,0.16625679,0.0,0.16333553,0.4490902,0.0,0.04543158,0.13168982,0.08229326,0.3543541,1.0,0.34896967,0.017709412,0.99961495,0.531443,0.05393344,0.052847616
53,angry,0.63542175,0.32074907,0.4697031,0.45907235,0.15354921,1.0,0.105563894,0.9545118,0.0,0.04601117,0.09241322,0.12893493,0.2734214,1.0,0.414339,0.026328819,0.99997926,0.75951344,0.027795173,0.028107086
54,angry,0.24736954,0.17846248,0.63442314,0.56916726,0.06473172,1.0,0.10113732,0.023180211,1.0,0.04741761,0.7363018,0.06736945,0.2613875,0.0,0.43407145,0.34690017,0.8529158,0.17123811,0.17462587,0.059637196
55,angry,0.50624853,0.2737163,0.2930943,0.26363143,0.16511554,0.0,0.21593925,0.43118334,0.0,0.23838249,0.31432408,0.39707297,0.38642463,1.0,0.31548694,0.02506745,0.99696004,0.9004034,0.050857674,0.6689622
56,,0.7212319,0.27884668,0.8180798,0.2536742,0.26202,0.0,0.5203206,0.26562455,0.0,0.04955894,0.101438835,0.0568638,0.30236587,1.0,0.19715716,0.0070689674,0.9999721,0.9520028,0.037035603,0.7070158
57,angry,0.4913652,0.12275037,0.59485465,0.46728122,0.25122207,0.0,0.19626324,0.57188535,0.0,0.14773227,0.29155427,0.33332372,0.29325414,1.0,0.5981331,0.022665016,0.99769515,0.7168233,0.39108074,0.026443264
58,angry,0.5226352,0.14888352,0.6762103,0.48199603,0.068117656,0.0,0.12135482,0.08207381,1.0,0.039131794,0.32183704,0.33256137,0.2928314,0.0,0.3224599,0.16072497,0.984118,0.37775978,0.19517979,0.08852298
59,angry,0.38126424,0.3392379,0.4837231,0.45482025,0.071993575,0.0,0.15207006,0.005277768,0.0,0.03242018,0.31028986,0.28115007,0.4748233,0.0,0.30915475,0.37012047,0.70298684,0.15676735,0.24636576,0.033194624
60,angry,0.4525216,0.39982942,0.5652502,0.7087835,0.1553369,0.0,0.14132933,0.12243306,1.0,0.031893063,0.082034335,0.26803753,0.526173,0.0,0.5278561,0.5538966,0.8007559,0.07841864,0.4872981,0.06178642
61,angry,0.3403967,0.33333838,0.704351,0.57269454,0.17983553,1.0,0.19418928,0.054893933,0.0,0.105526514,0.135494,0.29162726,0.2529495,1.0,0.1915144,0.004411912,0.99998724,0.96993375,0.035198018,0.09689242
62,angry,0.39247018,0.09103517,0.8926046,0.2388577,0.38760436,1.0,0.22753015,0.072369054,1.0,0.086477764,0.094486415,0.24998298,0.30618244,1.0,0.25271922,0.01394199,0.9996263,0.92559516,0.0127366055,0.7517626
63,angry,0.43706623,0.14217885,0.29293442,0.50009364,0.13068277,0.0,0.22970164,0.09667075,1.0,0.08017071,0.35550565,0.044926904,0.31896806,1.0,0.5014906,0.016235482,0.99994254,0.6077689,0.0643181,0.029454786
64,angry,0.5832592,0.12873545,0.53215593,0.567256,0.052525293,1.0,0.13793723,0.024263648,1.0,0.019177694,0.33227092,0.15602316,0.3699208,0.0,0.3458853,0.26216045,0.4718508,0.24931464,0.07876739,0.035064097
65,angry,0.42427924,0.2969005,0.5663488,0.6571874,0.1579487,0.0,0.21673752,0.9556078,0.0,0.054790616,0.25369787,0.46238524,0.28531903,1.0,0.3545364,0.013788969,0.99996364,0.953648,0.5082249,0.11409559
66,angry,0.5427742,0.29369467,0.85610247,0.4416902,0.3057541,0.0,0.30871224,0.1255663,0.0,0.14787318,0.13164677,0.30004266,0.2135294,1.0,0.2970477,0.007860451,0.9999527,0.94519293,0.09125703,0.08510001
67,angry,0.26428258,0.19184263,0.3031916,0.38318038,0.08440574,0.0,0.12256925,0.06750023,0.0,0.09653787,0.137101,0.22404292,0.3691574,0.0,0.3592682,0.07174271,0.9655815,0.7362539,0.08793063,0.037219595
68,angry,0.36420262,0.13578051,0.80726624,0.38778466,0.38365397,1.0,0.33346626,0.78536046,1.0,0.23117764,0.12556984,0.28203323,0.21528347,1.0,0.52666914,0.009235338,0.9999403,0.916285,0.17162438,0.10345092
69,angry,0.48222628,0.18781742,0.66006774,0.62848634,0.054434244,0.0,0.11832278,0.14465952,0.0,0.06205985,0.12883238,0.64134794,0.34012258,0.0,0.5358272,0.03021309,0.9620229,0.55672044,0.08714446,0.059567705
70,angry,0.24273767,0.083730526,0.23514542,0.5194832,0.083582304,0.0,0.13371345,0.0073251706,0.0,0.019050954,0.17598474,0.0775912,0.30728748,0.0,0.28324026,0.27551937,0.28297067,0.043842148,0.20248413,0.036363143
71,angry,0.22882202,0.062364545,0.24952057,0.4801315,0.07966186,0.0,0.090201214,0.117647246,0.0,0.03207484,0.23849645,0.15779787,0.49126977,0.0,0.48023036,0.36208767,0.41129392,0.35291234,0.16008599,0.035549454
72,angry,0.47287247,0.0817766,0.96506494,0.2422568,0.43120214,1.0,0.59886307,0.030209167,0.0,0.095522605,0.13887034,0.18100667,0.25595152,1.0,0.30468574,0.007238296,0.9999162,0.8884437,0.114518546,0.9560614
73,angry,0.36325756,0.20593332,0.5799286,0.5294949,0.10435973,0.0,0.08928789,0.0033662652,1.0,0.015577204,0.09686054,0.33438897,0.42589125,0.0,0.25253445,0.052703973,0.9366411,0.17854278,0.06603282,0.036244765
74,angry,0.29479066,0.16471827,0.58258593,0.5070966,0.049671024,0.0,0.1797652,0.17806022,0.0,0.029916907,0.15641463,0.26580176,0.2085961,0.0,0.22630118,0.073101126,0.912398,0.34216228,0.13088155,0.03779597
75,angry,0.48662132,0.15995553,0.40832105,0.5084661,0.05823928,0.0,0.12311059,0.1494454,1.0,0.032798875,0.28589064,0.13956836,0.32500377,0.0,0.3796458,0.44192374,0.99203265,0.09634455,0.1253514,0.045225188
76,angry,0.31036204,0.09416574,0.6611066,0.28085542,0.2567046,1.0,0.39823937,0.62826085,1.0,0.101522036,0.18052725,0.84878254,0.7412101,0.0,0.33703038,0.29618475,0.49929747,0.3093534,0.012214004,0.34348541
77,angry,0.40125012,0.26492435,0.2316741,0.34337726,0.16763288,1.0,0.31484348,0.25134048,0.0,0.19499552,0.15640478,0.105504416,0.2546919,1.0,0.30254057,0.007295495,0.9999912,0.91506964,0.11848773,0.066003375
78,angry,0.41755798,0.21262945,0.91570675,0.44672027,0.1928407,1.0,0.12912007,0.14766352,1.0,0.050760217,0.08119362,0.5142184,0.658393,0.0,0.7474303,0.121586405,0.9825943,0.71675307,0.1326214,0.08285604
79,angry,0.43449932,0.1409204,0.57290334,0.27419773,0.25404012,1.0,0.40783247,0.833184,0.0,0.20091788,0.11501198,0.2013147,0.20153834,1.0,0.49361205,0.033914294,0.99987864,0.9622104,0.006176835,0.70849574
80,angry,0.25651854,0.46892202,0.10055147,0.46929854,0.098889396,0.0,0.230111,0.0017773793,1.0,0.070984975,0.18594809,0.11538354,0.50623035,0.0,0.6084905,0.4518639,0.25429288,0.05420203,0.13225117,0.16422375
81,angry,0.36069646,0.19428733,0.70392364,0.41090205,0.10417597,0.0,0.1942662,0.7236763,0.0,0.11343938,0.07735933,0.21078621,0.2593283,1.0,0.42858353,0.004871831,0.9999242,0.9773672,0.068587966,0.06270286
82,angry,0.42654917,0.21448798,0.9161142,0.34219834,0.18817593,0.0,0.4153479,0.011428123,1.0,0.086922206,0.073435195,0.061059017,0.2206657,1.0,0.18634738,0.013474289,0.99994755,0.8711396,0.041971028,0.23922504
83,angry,0.4981394,0.40490225,0.5686419,0.250407,0.08989507,0.0,0.1684512,0.04147793,1.0,0.051188704,0.20465496,0.60825795,0.33054003,1.0,0.605418,0.08951636,0.922116,0.70970154,0.21128538,0.3720738
84,angry,0.2935731,0.21968618,0.68153906,0.32964,0.10083041,0.0,0.14007735,0.027715508,1.0,0.030518688,0.26040712,0.098730594,0.29288787,0.0,0.28830263,0.07711534,0.95121896,0.19320115,0.21075702,0.036613777
85,angry,0.44690242,0.14169297,0.9592204,0.27071145,0.61588293,1.0,0.7168545,0.80149114,1.0,0.17759201,0.19419667,0.3834394,0.32112232,1.0,0.42948464,0.041118868,0.999887,0.7645661,0.037135,0.7195103
86,angry,0.40981284,0.34254915,0.42322722,0.5496682,0.055947047,0.0,0.17075817,0.006300542,0.0,0.030138804,0.15724456,0.0721517,0.33298758,0.0,0.17031473,0.09030297,0.9938882,0.4629855,0.022601206,0.048011277
87,angry,0.28843498,0.105333984,0.92018014,0.3301252,0.30179358,0.0,0.13416475,0.3603728,0.0,0.05301055,0.23665039,0.28648835,0.38975954,1.0,0.4615771,0.016754936,0.99973065,0.96911776,0.09068271,0.09702303
88,angry,0.43988422,0.2483155,0.81300557,0.49324653,0.15183082,0.0,0.28319386,0.7948262,0.0,0.18677168,0.5692526,0.55792344,0.20899718,1.0,0.21369405,0.05411795,0.998431,0.7701168,0.11525574,0.043131664
89,angry,0.7192471,0.6139056,0.48283738,0.48371363,0.13590007,0.0,0.11601448,0.8713429,0.0,0.02939322,0.121967435,0.20962837,0.27985233,1.0,0.5323578,0.07602405,0.99794465,0.7054317,0.10887897,0.029013623
90,angry,0.37851104,0.21473484,0.8701238,0.4570523,0.19065133,0.0,0.18643376,0.09729046,1.0,0.02946768,0.08466958,0.15080193,0.31346714,1.0,0.18231457,0.017329838,0.99993885,0.7340923,0.023142999,0.15087576
91,angry,0.67838734,0.5247501,0.33126113,0.5600572,0.15305194,0.0,0.14405458,0.47949633,0.0,0.061156992,0.13605623,0.099025525,0.18973485,1.0,0.18989778,0.005330893,0.9999907,0.9740181,0.054070152,0.06402134
92,angry,0.37263986,0.2082347,0.85099393,0.2638235,0.23615623,0.0,0.5712722,0.7224524,0.0,0.07212626,0.45632005,0.47084594,0.32989204,1.0,0.24245194,0.07208519,0.9987795,0.77786064,0.02493036,0.19214928
93,angry,0.26019636,0.065198846,0.70739627,0.40549108,0.18892217,0.0,0.17780389,0.1277458,0.0,0.017596086,0.0893418,0.13825545,0.35032707,1.0,0.323617,0.013906733,0.99907994,0.8245681,0.03990717,0.08076111
94,angry,0.34070528,0.22972569,0.50794667,0.615883,0.07745005,0.0,0.15575533,0.34366184,1.0,0.15429251,0.35835037,0.3470809,0.3854036,1.0,0.26589495,0.024482576,0.9993311,0.3044629,0.10200148,0.033865947
95,angry,0.5301387,0.1574244,0.47942728,0.41286388,0.091552615,0.0,0.099864826,0.46205804,0.0,0.044913292,0.103779,0.09620905,0.17805174,1.0,0.38158128,0.01427729,0.9988619,0.7729867,0.089481466,0.07682511
96,angry,0.5707475,0.19706611,0.77572465,0.30632794,0.2531672,1.0,0.26567715,0.8849914,0.0,0.022272564,0.1476731,0.56129825,0.3157588,1.0,0.35617265,0.015510657,0.9978776,0.6883261,0.11864581,0.029593762
97,angry,0.37490517,0.17484581,0.65908545,0.6644838,0.047292065,1.0,0.1417854,0.016055528,1.0,0.06198027,0.250769,0.2538908,0.2870992,0.0,0.20918268,0.041586712,0.99934286,0.23049107,0.07981163,0.05788521
98,angry,0.40926245,0.20874454,0.6827769,0.3562051,0.17211041,0.0,0.15294124,0.08438263,1.0,0.18423106,0.26368603,0.3274143,0.36304736,1.0,0.41329744,0.06021162,0.99912924,0.77278775,0.038023964,0.05976582
99,angry,0.33200532,0.39341396,0.6655614,0.47167894,0.20073748,0.0,0.40920565,0.048876163,1.0,0.13705109,0.23734748,0.20139357,0.32940853,1.0,0.482934,0.039232492,0.9999546,0.7461803,0.11814976,0.12266067
100,angry,0.4391169,0.11440249,0.26267326,0.42366484,0.10912858,0.0,0.24968669,0.41884628,0.0,0.045893107,0.20249386,0.12943193,0.20734331,1.0,0.26033482,0.008099693,0.99997544,0.95538753,0.07448267,0.06621164
101,angry,0.39200738,0.19577023,0.7914048,0.34247077,0.2697309,1.0,0.26511586,0.082218766,0.0,0.08312705,0.21996394,0.3040395,0.3757314,1.0,0.41967627,0.014051243,0.9999802,0.59168285,0.086844005,0.20234561
102,angry,0.5322994,0.3710099,0.68419576,0.55603606,0.109086774,0.0,0.09200909,0.004748937,0.0,0.02173043,0.13659382,0.18394905,0.50912464,0.0,0.28388876,0.116878666,0.6717733,0.13191935,0.079472564,0.0423702
103,angry,0.48842537,0.12526572,0.77640337,0.3766591,0.10047855,0.0,0.1462913,0.0152398385,0.0,0.050899204,0.077022575,0.12795082,0.35405278,0.0,0.1916592,0.01765598,0.9907075,0.6630542,0.05006051,0.057705615
104,angry,0.3685696,0.3893955,0.33723626,0.38192686,0.09684449,0.0,0.13911897,0.13154915,1.0,0.040969066,0.17967427,0.40544662,0.29181376,0.0,0.20486534,0.025494797,0.9967865,0.5943321,0.10263041,0.06807469
105,angry,0.47870564,0.15503319,0.62369734,0.37618724,0.16396707,0.0,0.15560047,0.26522806,0.0,0.030416535,0.10916449,0.16987096,0.40567377,1.0,0.2602974,0.016551849,0.99925405,0.6794688,0.063490726,0.082425825
106,angry,0.46723738,0.10789853,0.9739952,0.23521648,0.62099296,1.0,0.6468879,0.64934814,1.0,0.21423104,0.15047336,0.23988646,0.33081824,1.0,0.3030279,0.03388394,0.999567,0.8597352,0.022396153,0.76269656
107,angry,0.31576768,0.13501199,0.4823138,0.4837972,0.089625716,0.0,0.12504613,0.0044844127,0.0,0.016015781,0.31619453,0.42743367,0.496859,0.0,0.4362445,0.3510664,0.73673207,0.107321896,0.07985468,0.07249026
108,angry,0.6077369,0.36944592,0.5314379,0.45936614,0.11440659,0.0,0.13357739,0.0037584426,0.0,0.05711203,0.12379704,0.13966236,0.31508958,1.0,0.18423001,0.051267676,0.99742824,0.50683796,0.013225852,0.12784953
109,angry,0.57163197,0.18155359,0.88409823,0.39050663,0.19261049,0.0,0.2487345,0.95060766,0.0,0.028334903,0.10494164,0.565371,0.2734333,1.0,0.502836,0.014075063,0.9993037,0.9655005,0.073473684,0.09990969
110,angry,0.530278,0.21981783,0.88983387,0.4816339,0.19043295,0.0,0.32666704,0.4776599,0.0,0.099644214,0.21958093,0.073592,0.20958906,1.0,0.2120655,0.0071761142,0.99996114,0.9214644,0.07828451,0.095912986
111,angry,0.28910676,0.15829907,0.79831064,0.50979155,0.09373928,0.0,0.120708875,0.70404065,0.0,0.035168663,0.22652885,0.06332164,0.21458754,1.0,0.34477943,0.060758047,0.9868395,0.5907354,0.109179586,0.039445184
112,angry,0.4753486,0.15561324,0.6986383,0.62190527,0.15849768,0.0,0.12586893,0.26631236,0.0,0.018237121,0.094598584,0.12306551,0.26740667,1.0,0.3244236,0.013579831,0.9999323,0.9362898,0.04624133,0.13867201
113,angry,0.5743505,0.3898013,0.44333184,0.29952174,0.119914345,0.0,0.18750702,0.3766927,1.0,0.11939956,0.37828052,0.23221812,0.36092147,1.0,0.6064622,0.12028814,0.9974388,0.5133131,0.14690736,0.087051146
114,angry,0.3319829,0.16580296,0.7636487,0.6359903,0.112819195,0.0,0.17625594,0.2384788,1.0,0.019949166,0.23017308,0.13809305,0.27261174,1.0,0.32403675,0.018644363,0.99971324,0.8616853,0.21493794,0.15120599
115,angry,0.2970363,0.17633453,0.9618448,0.385562,0.55588335,1.0,0.5576044,0.27307352,1.0,0.28214288,0.16451001,0.85229504,0.41362533,1.0,0.43056136,0.06853078,0.9999062,0.80571467,0.038236316,0.76644176
